 Topic, Subject, Question,
 Sql, Database management system, Now lady HR started and scanned each application and resume which we had submitted already. She started with one of guy from 5 members. Guys they were observing how you behave for situation. They asked questions like difference between C and C++ and Java etc. Be perfect with your resume. Don't include topics which you don't no. They will trap you easily. They asked some SQL concepts. Mainly they concentrated on projects we have done during engineering  be perfect with it. Be confident and present properly. If you guys get nervous don't show it. Big MNC golden opportunity don't do mistake guys.,
 object, Object_Oriented_Programming, It is the method of dividing a table which would enable a quick reference.  SAP uses fact file partitioning to improve performance. We can partition only at  0CALMONTH or 0FISCPER. Table partitioning helps to run the report faster as data  is stored in the relevant partitions. Also table maintenance becomes easier.  Oracle  Informix  IBM DB2/390 supports table partitioning while SAP DB   Microsoft SQL Server  IBM DB2/400 do not support table portioning.,
 object, Object_Oriented_Programming, A record group is an internal Oracle Forms data structure that has a column/row framework similar to a database table. However  unlike database tables  record groups are separate objects that belong to the form module in which they are defined. A record group can have an unlimited number of columns of type CHAR  LONG  NUMBER  or DATE provided that the total number of columns does not exceed 64K. Record group column names cannot exceed 30 characters.,
 Sql, Database management system, Around 47 students cleared this round. If you clear online test than 70% of your work is done but don't relax. For technical interview  be prepared with one of your core subjects. If you are from ece be prepared with digital electronics/microprocessors and basic programs. Also you may be asked to write program in c/c++/java language(the one language you have chosen during online test). Learn few basic SQL queries related to groupby while etc.,
 Sql, Database management system, Function key triggers are associated with individual SQL*FORMS function keys You can attach Key function triggers to 10 keys or key sequences that normally do not perform any SQL * FORMS operations. These keys referred as key F0 through key F9.,
 object, Object_Oriented_Programming, A property clause is a named object that contains a list of properties and their settings. Once you create a property clause you can base other object on it. An object based on a property can inherit the setting of any property in the clause that makes sense for that object.,
 Sql, Database management system, SQL * DBA - This allows DBA to monitor and control an ORACLE database. SQL * Loader - It loads data from standard operating system files (Flat files) into ORACLE database tables. Export (EXP) and Import (imp) utilities allow you to move existing data in ORACLE format to and from ORACLE database.,
 object, Object_Oriented_Programming, "PL/SQL V2.2  available with Oracle7.2  implements a binary wrapper for PL/SQL programs to protect the source code. This is done via a standalone utility that transforms the PL/SQL source code into portable binary object code (somewhat larger than the original). This way you can distribute software without having to worry about exposing your proprietary algorithms and methods. SQL*Plus and SQL*DBA will still understand and know how to execute such scripts. Just be careful  there is no ""decode"" command available.",
 object, Object_Oriented_Programming, The Open Hub Service enables us to distribute data from an SAP BW system  into external Data Marts  analytical applications  and other applications. We  can ensure controlled distribution using several systems. The central object for  exporting data is the InfoSpoke. We can define the source and the target object  for the data. BW becomes a hub of an enterprise,
 object, Object_Oriented_Programming, The other 25 questions were technical questions based on basic programming logics  java  object oriented technology  SQL  networking  etc and the time was 30 minutes. You could solve either of the sections first but cannot carry the timing of one section to the other one and also there was an option to go back to the questions so you could change your answer if you wanted.,
 object, Object_Oriented_Programming, We must be able to create a after row trigger on table (i.e.  it should be not be already available) After giving table privileges. We cannot specify snapshot log name because oracle uses the name of the master table in the name of the database objects that support its snapshot log. The master table name should be less than or equal to 23 characters. (The table name created will be MLOGS_tablename  and trigger name will be TLOGS name).,
 Sql, Database management system, My technical interview is of about 60 minutes. it seems to be long but when u r inside u never feel it and u just hv to ans patiently as ques are very easy n bit tricky. A good knowledge of SQL and C is a must. U must know at least the basics command of unix otherwise u will be rejected.they will just ask u to write 10 commands of unix and they will ask ques on those 10 commands only.,
 Sql, Database management system, "Questions were fired one after another from deadlock  critical section  memory management. He then again shifted to SQL and gave simple queries to write. I got confused in two and I politely said ""I do not know Sir"". Rest I was confident that I was correct. He tried to confuse me but I remained intact to my points. He then asked basics of C- pointers and functions  preprocessors directives and their functions.",
 Sql, Database management system, "Users normally use the ""connect"" statement to connect from one database user to another. However  DBAs can switch from one user to another without a password. Of course it is not advisable to bridge Oracle's security  but look at this example: SQL> select password from dba_users where username='SCOTT';",
 Sql, Database management system, If you have good domain knowledge and concepts like Java OOPS  DBMS and SQL Queries  Data structures  you can easily crack this interview. Never forget to prepare your final year project. prepare DBMS specially(join  normalization  transaction  acid properties).,
 Sql, Database management system, The correct answer is off ? The TRUSTWORTHY database property indicates whether the installed instance of SQL Server trusts the database such that it can reach out and perform actions outside the database. By default it is OFF such that the database to reduce certain threats that can result from attaching a database that contains potentially harmful code,
